wavelength [um],"Bulb Spectra, No background"
0.353448,556.8
0.353483,544.8
0.353519,539.6
0.353555,542.4
0.353591,576
0.353627,567.2
0.353663,554.4
0.353699,561.2
0.353735,578
0.353771,574.4
0.353807,572
0.353843,552.8
0.353879,562.8
0.353915,556.8
0.353951,546.8
0.353987,570.8
0.354023,568.4
0.354059,579.6
0.354095,575.6
0.354131,568.8
0.354167,569.2
0.354203,579.6
0.354239,567.6
0.354275,572.8
0.354311,576
0.354347,594
0.354382,578
0.354418,577.2
0.354454,565.2
0.35449,557.2
0.354526,564.4
0.354562,589.2
0.354598,566.8
0.354634,551.2
0.35467,585.2
0.354706,577.2
0.354742,568.4
0.354778,577.6
0.354814,568
0.35485,578.8
0.354886,584
0.354922,566.4
0.354958,583.6
0.354993,601.6
0.355029,586.4
0.355065,590.4
0.355101,580
0.355137,566.8
0.355173,620.8
0.355209,590
0.355245,586.8
0.355281,614.8
0.355317,576.4
0.355353,607.2
0.355389,588.8
0.355425,591.6
0.355461,584.4
0.355497,605.2
0.355532,604
0.355568,591.2
0.355604,604.4
0.35564,608.4
0.355676,618.4
0.355712,590.4
0.355748,613.6
0.355784,600
0.35582,590
0.355856,597.6
0.355892,615.2
0.355928,628.8
0.355964,624.4
0.355999,610.4
0.356035,599.2
0.356071,605.6
0.356107,599.2
0.356143,604.8
0.356179,632.4
0.356215,619.6
0.356251,614
0.356287,611.2
0.356323,631.2
0.356359,640
0.356394,632.8
0.35643,612
0.356466,631.6
0.356502,644
0.356538,644.4
0.356574,628.4
0.35661,623.6
0.356646,641.2
0.356682,592.8
0.356718,636.4
0.356754,633.6
0.356789,609.2
0.356825,622.4
0.356861,633.2
0.356897,635.6
0.356933,662.4
0.356969,627.6
0.357005,625.6
0.357041,630
0.357077,640.8
0.357113,639.6
0.357148,620
0.357184,633.6
0.35722,620.4
0.357256,641.6
0.357292,673.6
0.357328,639.2
0.357364,636.4
0.3574,651.6
0.357436,649.6
0.357471,665.2
0.357507,652.4
0.357543,642.4
0.357579,633.6
0.357615,640.4
0.357651,640
0.357687,640
0.357723,636.8
0.357758,657.6
0.357794,652
0.35783,656.4
0.357866,658.8
0.357902,662.4
0.357938,654.4
0.357974,651.6
0.35801,654.4
0.358045,653.2
0.358081,628
0.358117,662.8
0.358153,675.2
0.358189,653.6
0.358225,653.2
0.358261,668.4
0.358297,677.2
0.358332,657.6
0.358368,661.2
0.358404,671.2
0.35844,656.8
0.358476,666.8
0.358512,668.4
0.358548,657.2
0.358584,650
0.358619,662
0.358655,668.8
0.358691,655.2
0.358727,665.2
0.358763,665.6
0.358799,670.4
0.358835,676.8
0.35887,667.2
0.358906,670.4
0.358942,647.6
0.358978,654
0.359014,676.4
0.35905,666.4
0.359086,692.4
0.359121,680.8
0.359157,672
0.359193,691.6
0.359229,692.4
0.359265,662.8
0.359301,687.2
0.359336,681.6
0.359372,680
0.359408,700
0.359444,688
0.35948,679.6
0.359516,685.2
0.359552,692.8
0.359587,690.4
0.359623,693.6
0.359659,692.4
0.359695,683.6
0.359731,688.8
0.359767,700
0.359802,688
0.359838,696
0.359874,693.6
0.35991,703.2
0.359946,703.2
0.359982,696
0.360017,713.2
0.360053,711.2
0.360089,720.4
0.360125,700
0.360161,709.6
0.360197,710
0.360232,707.6
0.360268,718.8
0.360304,676.4
0.36034,712
0.360376,719.6
0.360412,739.6
0.360447,693.6
0.360483,710
0.360519,722.8
0.360555,716.4
0.360591,726.8
0.360626,702
0.360662,709.2
0.360698,740.4
0.360734,697.2
0.36077,712.8
0.360806,706
0.360841,722.8
0.360877,738
0.360913,731.6
0.360949,722.8
0.360985,732
0.36102,736.8
0.361056,736.4
0.361092,724.8
0.361128,710.4
0.361164,727.2
0.3612,760.4
0.361235,744
0.361271,745.2
0.361307,749.2
0.361343,764.4
0.361379,752
0.361414,726
0.36145,743.6
0.361486,753.2
0.361522,757.2
0.361558,746
0.361593,738.8
0.361629,742.8
0.361665,752.4
0.361701,730
0.361737,756.4
0.361772,748.4
0.361808,742.8
0.361844,742.4
0.36188,746
0.361916,758.8
0.361951,758
0.361987,748.8
0.362023,756
