wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
330.362,3214.0,18.83259585576738,2165.6,3.7534583275316167,916.4753419158698,,1082.8,458.2376709579349,,4331.2,1832.9506838317395
330.399,3093.3333333333335,40.14418457953226,2049.333333333333,3.7530379934563967,866.3477825052105,,1024.6666666666665,433.17389125260524,,4098.666666666666,1732.695565010421
330.435,3156.6666666666665,7.71722460186015,2109.866666666667,3.7526291101124274,891.0138050058473,,1054.9333333333334,445.50690250292365,,4219.733333333334,1782.0276100116946
330.471,3117.3333333333335,15.084944665313014,2068.533333333333,3.752220315852223,872.6534853685885,,1034.2666666666664,436.32674268429423,,4137.066666666666,1745.306970737177
330.508,3120.6666666666665,28.394052585395805,2076.2666666666664,3.7518002589952437,874.983660678705,,1038.1333333333332,437.4918303393525,,4152.533333333333,1749.96732135741
330.544,3012.0,13.366625103842281,1956.8,3.751391645287768,823.7840597477605,,978.4,411.89202987388023,,3913.6,1647.568119495521
330.581,2998.0,18.83259585576738,1925.6,3.750971773937401,809.7869752008909,,962.8,404.89348760044544,,3851.2,1619.5739504017818
330.617,2931.3333333333335,3.39934634239519,1888.933333333333,3.750563340663063,793.5453008300797,,944.4666666666665,396.77265041503983,,3777.866666666666,1587.0906016601593
330.653,2919.3333333333335,24.729649321321876,1870.533333333333,3.7501549963254526,785.0025236673749,,935.2666666666665,392.50126183368747,,3741.066666666666,1570.0050473347499
330.69,2799.3333333333335,16.027753706895076,1752.133333333333,3.7497354017357645,734.5323089700108,,876.0666666666665,367.2661544850054,,3504.266666666666,1469.0646179400217
330.726,2758.6666666666665,8.993825042154693,1712.6666666666665,3.749327237652921,717.2447113628415,,856.3333333333333,358.62235568142074,,3425.333333333333,1434.489422725683
330.762,2753.3333333333335,4.988876515698588,1703.333333333333,3.7489191624188996,712.5987174598547,,851.6666666666665,356.29935872992735,,3406.666666666666,1425.1974349197094
330.799,2744.6666666666665,2.494438257849294,1697.8666666666666,3.7484998443163375,709.5573576591904,,848.9333333333333,354.7786788295952,,3395.733333333333,1419.1147153183808
330.835,2709.3333333333335,22.17105219775452,1664.533333333333,3.7480919491589466,694.9083882564065,,832.2666666666665,347.45419412820326,,3329.066666666666,1389.816776512813
330.872,2704.6666666666665,17.46106780494506,1657.8666666666666,3.7476728160738895,691.3905655016097,,828.9333333333333,345.69528275080484,,3315.733333333333,1382.7811310032193
330.908,2758.0,29.5296461204668,1704.4,3.7472651008739586,710.0627938305752,,852.2,355.0313969152876,,3408.8,1420.1255876611503
330.944,2700.6666666666665,12.47219128924647,1636.6666666666665,3.746857474376329,681.1409238955254,,818.3333333333333,340.5704619477627,,3273.333333333333,1362.2818477910507
330.981,2596.6666666666665,9.285592184789412,1547.0666666666666,3.7464386173224447,643.1687591088395,,773.5333333333333,321.58437955441974,,3094.133333333333,1286.337518217679
331.017,2574.0,42.926293418680665,1525.2,3.746031170604531,633.4239264559507,,762.6,316.71196322797533,,3050.4,1266.8478529119013
331.053,2626.6666666666665,28.015868519267592,1577.4666666666665,3.7456238125013215,654.4549197341262,,788.7333333333332,327.2274598670631,,3154.933333333333,1308.9098394682524
331.09,2570.6666666666665,36.38070306571267,1521.8666666666666,3.745205231206017,630.7187029314416,,760.9333333333333,315.3593514657208,,3043.733333333333,1261.4374058628832
331.126,2494.6666666666665,36.527006751473934,1442.6666666666665,3.7447980527050126,597.2789787743144,,721.3333333333333,298.6394893871572,,2885.333333333333,1194.5579575486288
331.163,2506.6666666666665,26.599916457680003,1459.4666666666665,3.744379655939824,603.5944368780886,,729.7333333333332,301.7972184390443,,2918.933333333333,1207.1888737561771
331.199,2443.3333333333335,23.79542439676633,1398.533333333333,3.7439726569222733,577.7982836351343,,699.2666666666665,288.89914181756717,,2797.066666666666,1155.5965672702687
331.235,2430.0,3.265986323710904,1387.2,3.7435657463734207,572.5257257318094,,693.6,286.2628628659047,,2774.4,1145.0514514636188
331.272,2324.6666666666665,13.695092389449425,1284.2666666666664,3.7431476249124587,529.4821628916452,,642.1333333333332,264.7410814458226,,2568.533333333333,1058.9643257832904
331.308,2367.3333333333335,33.6386021641143,1324.933333333333,3.7427408936699385,545.6861105362807,,662.4666666666665,272.84305526814035,,2649.866666666666,1091.3722210725614
331.344,2361.3333333333335,22.291004663067316,1315.7333333333331,3.742334250808827,541.3393824022021,,657.8666666666666,270.66969120110105,,2631.4666666666662,1082.6787648044042
331.381,2338.0,23.55136231020759,1290.4,3.7419164043804565,530.3550154329655,,645.2,265.17750771648275,,2580.8,1060.710030865931
331.417,2263.3333333333335,18.208667044996883,1214.933333333333,3.74150994064879,498.82463660663683,,607.4666666666665,249.41231830331841,,2429.866666666666,997.6492732132737
331.454,2251.3333333333335,13.199326582148887,1200.133333333333,3.741092278264857,492.22739565555264,,600.0666666666665,246.11369782777632,,2400.266666666666,984.4547913111053
